KOMBINAT II Lipiec Maksymilian;509560771;;
KOMBINAT II Lipiec Maksymilian;512475004;;
ALPINA Sp. z o.o.;(81)7489111;;
ALPINA Sp. z o.o.;(81)7489110;;
Firma EL-MAX;661730840;;
Firma EL-MAX;501969227;;
K2 Prace Wysokościowe;692499019;;
KAMIKADZE;798557818;;
Alpin-Art Przemysław Adamczyk;503690189;;
BUDGEM G.Maternia Sp.j.;501536033;;
Specjalistyczne Przedsiębiorstwo FILAR Andrzej Bieńkowski;(71)3524501;;
Specjalistyczne Przedsiębiorstwo FILAR Andrzej Bieńkowski;600937076;;
SPIT Usługi Wysokościowe;509998701;;
ALPA-MARK Marek Gatkowski;501052117;;
ALPIN SYSTEM Przedsiębiorstwo Usług Specjalistycznych;(75)6438903;;
ALPIN SYSTEM Przedsiębiorstwo Usług Specjalistycznych;(75)7679130;;
ALPINISTA Zakład Usług Wysokościowych;(71)3103873;;
ALPINISTA Zakład Usług Wysokościowych;602234659;;
ALPMAR Roboty Wysokościowe Marek Kłosowski;(32)7523277;;
ALPMAR Roboty Wysokościowe Marek Kłosowski;696431813;;
Alptrek Prace na Wysokościach;608528902;;
ASCENT;697460052;;
ASCENT;(77)4568797;;
Biuro Usług TOMEX Tomasz Chełczyński;(56)6509747;;
Biuro Usług TOMEX Tomasz Chełczyński;602675096;;
BlueLift.pl;787050050;;
HARVEST Karolina Dreczka;691820102;;
HARVEST Karolina Dreczka;601739594;;
HiWork;(33)3070448;;
HiWork;668402202;;
JUNIOR Alpinizm Przemysłowy;505040013;;
Mad-Mar Prace Wysokościowe Grzegorz Madej;516077306;;
MIBOR Usługi Wysokościowe;533495159;;
MIBOR Usługi Wysokościowe;660495159;;
MULTIWORK;697055560;;
MULTIWORK;697055583;;
POOD Łukasz Sakowicz;660009444;;
POOD Łukasz Sakowicz;660703801;;
RENIFER Wycinka Drzew, Alpinistyczne Prace Wysokościowe;601426399;;
RENIFER Wycinka Drzew, Alpinistyczne Prace Wysokościowe;601321096;;
Sław-Bud Sp. z o.o.;(55)6151551;;
Sław-Bud Sp. z o.o.;608506980;;
Spectechnika;793772627;;
TATRA Janusz Szczepański;602640414;;
ALPIN-TERM Prace Wysokościowe, Analiza Termiczna;572877957;;
M.S.A. ALPIMOR Sp. z o.o.;(58)5504549;;
M.S.A. ALPIMOR Sp. z o.o.;(58)5510448;;
AKOL Przedsiębiorstwo Usług Wysokościowych i Budowlanych;512763680;;
Firma ROJAN Sp. z o.o.;(12)4228202;;
Firma ROJAN Sp. z o.o.;(12)4210877;;
GLOBAL CLEANING Profesjonalne Sprzątanie Biur;(61)8768566;;
GLOBAL CLEANING Profesjonalne Sprzątanie Biur;513088224;;
ROBOT 1 B.Orzechowska i Z.Gryglewicz Sp.j.;(71)3447960;;
ROBOT 1 B.Orzechowska i Z.Gryglewicz Sp.j.;(71)3725887;;
4B Budowa M.Baran;505124611;;
FUKS P.Komorowski, T.Sibiński Sp.j.;(71)3291558;;
FUKS P.Komorowski, T.Sibiński Sp.j.;783820721;;
MOC ZIELENI;504233904;;
Przedsiębiorstwo Robót Inżynieryjnych PROFIL;504294690;;
Przedsiębiorstwo Wielobranżowe ELTAR Sp. z o.o.;(14)6646300;;
Przedsiębiorstwo Wielobranżowe ELTAR Sp. z o.o.;(14)6646301;;
TEGMA Tadeusz Sirocki Maszty aluminiowe, Kratownicowe;502421660;;
TEGMA Tadeusz Sirocki Maszty aluminiowe, Kratownicowe;602770903;;
Up-Telecom Sp. z o.o.;(22)8143037;;
Up-Telecom Sp. z o.o.;(22)8143047;;
Zakład Budowlano-Dekarski Marek Plechowski;(58)3050142;;
Zakład Budowlano-Dekarski Marek Plechowski;509384181;;
ABAKUS Tomasz Suszalski;(34)3220090;;
ABAKUS Tomasz Suszalski;604979830;;
Akori-Nieruchomości Sp. z o.o.;(61)8509640;;
Akori-Nieruchomości Sp. z o.o.;(61)8509641;;
BELMAR Firma Sprzątająca;603885808;;
