ECO-ABC Sp. z o.o.;(44)6333772;;
ECO-ABC Sp. z o.o.;(44)6333976;;
F.U.H. AL-EKO Aniela Reiske;(94)3470843;;
F.U.H. AL-EKO Aniela Reiske;(94)3470848;;
IB Sp. z o.o.;(18)2649677;;
IB Sp. z o.o.;(18)2649680;;
P.H.U. OPERATUS Marian Krajewski;(33)8168482;;
P.H.U. OPERATUS Marian Krajewski;(33)8150380;;
PPHU EKOPROD Jarosław Szczucki i Spółka Sp.j.;(76)8663415;;
PPHU EKOPROD Jarosław Szczucki i Spółka Sp.j.;(76)8523634;;
Przedsiębiorstwo Usług Komunalnych Sp. z o.o.;(85)6822357;;
Przedsiębiorstwo Usług Komunalnych Sp. z o.o.;(85)6823032;;
Zakład Sprzątania CLEANER Sp.j.;(55)2340340;;
Zakład Sprzątania CLEANER Sp.j.;(55)2356464;;
EKO-JAWOR Sp. z o.o.;(32)2258444;;
EKO-JAWOR Sp. z o.o.;506779551;;
KMD GRUZ;664360788;;
KMD GRUZ;(58)7136571;;
MEDSPAL Logistyka Odpadów i Opakowań Medycznych;603979831;;
MEDSPAL Logistyka Odpadów i Opakowań Medycznych;(61)8115692;;
Miejski Zakład Oczyszczania w Pruszkowie Sp. z o.o.;(22)7594552;;
Miejski Zakład Oczyszczania w Pruszkowie Sp. z o.o.;(22)7595616;;
Miejskie Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej Sp. z o.o.;(32)7660000;;
Miejskie Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej Sp. z o.o.;(32)7660003;;
Miejskie Przedsiębiorstwo Gospodarki Komunalnej Spółka z ograniczoną odpowiedzialnością;(75)6420100;;
Miejskie Przedsiębiorstwo Oczyszczania Sp. z o.o. w Krakowie;(12)6462222;;
Miejskie Przedsiębiorstwo Oczyszczania Sp. z o.o. w Krakowie;(12)6462350;;
PBI Sp.j. - Profesjonalna gospodarka odpadami;(34)3446198;;
PBI Sp.j. - Profesjonalna gospodarka odpadami;(34)3656888;;
PPHU KRIX-POOL;(22)7514040;;
PPHU KRIX-POOL;(22)7512731;;
Pyrzyckie Przedsiębiorstwo Komunalne Sp. z o.o.;(91)5791960;;
Pyrzyckie Przedsiębiorstwo Komunalne Sp. z o.o.;(91)5791977;;
RENMARK Renata Kownacka Marek Dąbrowski;661400400;;
RENMARK Renata Kownacka Marek Dąbrowski;667605605;;
Zakład Usług Komunalnych Sp. z o.o.;(33)8423140;;
Acord;608648183;;
Acord;(22)8394591;;
BADY F.H.U. Bernard Stoch;(18)2653482;;
BADY F.H.U. Bernard Stoch;603656796;;
EKO Sp.j.;(32)4223673;;
EKO-BUK;608337060;;
EKO-LOGIS;(71)3510606;;
EKO-LOGIS;514006006;;
Ekoleś Zakład Usługowo Budowlany Leszek Płotka;(58)3221105;;
Ekoleś Zakład Usługowo Budowlany Leszek Płotka;502026381;;
FEB-EKO Sp. z o.o.;516195423;;
FEB-EKO Sp. z o.o.;508094019;;
Firma FENIKS Jerzy Otwin;(12)2784593;;
Firma FENIKS Jerzy Otwin;(12)2893340;;
FOREST;(71)3495894;;
FOREST;798691983;;
IGLESPOL Sp.j.;(61)4360229;;
Jagódka Plus Sp. z o.o.;(71)3421524;;
Jagódka Plus Sp. z o.o.;696071035;;
JAKMAR Mariusz Jakubaszek;(22)4995822;;
JAKMAR Mariusz Jakubaszek;(22)4995823;;
Korona S.c.;(71)3185943;;
Korona S.c.;695597000;;
Miejskie Przedsiębiorstwo Oczyszczania Sp. z o.o.;(91)4623975;;
Miejskie Przedsiębiorstwo Oczyszczania Sp. z o.o.;(91)4623976;;
P.P.U.H. WIBA;(33)8100384;;
P.P.U.H. WIBA;(33)8281300-01;;
P.T.U. SZAMBELAN;(42)2137198;;
P.T.U. SZAMBELAN;502772339;;
Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o. w Śremie;(61)2830511;;
Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o. w Śremie;(61)2830527;;
Przedsiębiorstwo Komunalne PEKOM S.A. w Żarach;(68)4794600-01;;
Przedsiębiorstwo Komunalne PEKOM S.A. w Żarach;(68)4794602;;
SUEZ JANTRA Sp. z o.o.;(91)4835589;;
SUEZ JANTRA Sp. z o.o.;(91)4831152w.200;;
Tonsmeier Wschód Sp. z o.o.;(48)3324900;;
Tonsmeier Wschód Sp. z o.o.;(48)3324902;;
Usługi Asenizacyjne WUKO;(32)4551483;;
