9 MAJA S.A. - Zakłady Przemysłu Wełnianego;(42)6743482(działsprzedaży);;
9 MAJA S.A. - Zakłady Przemysłu Wełnianego;(42)6741852(sekretariat);;
BAZEXIM Sp. z o.o.;(42)6110494;;
BAZEXIM Sp. z o.o.;(42)6110907;;
EUROPA NCT Sp. z o.o.;(22)7761000;;
EUROPA NCT Sp. z o.o.;(22)7761001;;
F.H.U EWATEX;500214017;;
F.H.U EWATEX;(34)3537820;;
MADEX J.Majorkowski ,M.Borkowski Sp.j.;(55)2722028;;
MADEX J.Majorkowski ,M.Borkowski Sp.j.;(55)2729130;;
Przedsiębiorstwo Produkcyjno-Handlowe BATKIEWICZ Sp.j.;(18)2641430;;
Przedsiębiorstwo Produkcyjno-Handlowe BATKIEWICZ Sp.j.;(18)2666910;;
Korporacja Texlen Sp. z o.o.;(34)3510289;;
Korporacja Texlen Sp. z o.o.;(34)3510288;;
Przedsiębiorstwo Wielobranżowe PEGGY;(42)7191578Dmosin;;
Przedsiębiorstwo Wielobranżowe PEGGY;(42)6338513Łódż;;
F.H.U.P. REAX;(42)6590093;;
F.H.U.P. REAX;(42)6590386;;
PPH Linex S.c.;(52)3213024;;
PPH Linex S.c.;(52)3457317;;
Better Firma Dziewiarska;(42)2158400;;
Better Firma Dziewiarska;604804939;;
Cariz;(42)6560552;;
Cariz;(42)6405186;;
Centrum Lniarskie NATURA Mysłakowice;(75)7131460;;
Centrum Lniarskie NATURA Mysłakowice;603080882;;
IMP Comfort Sp. z o.o.;(74)8583500;;
IMP Comfort Sp. z o.o.;(74)8583539;;
LINEN PARTNER - lniane tkaniny, dzianiny, frotte;728266665;;
LINEN PARTNER - lniane tkaniny, dzianiny, frotte;(75)6477243;;
MILA Sp. z o.o.;(34)3607340;;
MILA Sp. z o.o.;(34)3607348;;
P.P.H.U. WOJTEX Wojciech Sylwestrzak;(42)6110940;;
P.P.H.U. WOJTEX Wojciech Sylwestrzak;(42)6110941;;
PPHU PIO-MAN;(42)2275588;;
PPHU PIO-MAN;(42)2275377;;
PUR Sp. z o.o.;601981439;;
PUR Sp. z o.o.;601182010;;
THOREX Sp.j.;(42)6521150;;
THOREX Sp.j.;(42)6525145;;
Wartex Jarosław Waracki;503135431;;
PPHU AMANDA Oddział Bielsko-Biała;500386100;;
PPHU AMANDA Oddział Bielsko-Biała;601501335;;
PPHU AMANDA Oddział Skoczów;500386100;;
PPHU AMANDA Oddział Skoczów;601501335;;
S line Samanta Paściak;881784914;;
Artykuły Dzianinowe YARO-TEX Anna Rosiak;(42)6810633;;
Artykuły Dzianinowe YARO-TEX Anna Rosiak;(42)6810635;;
BAS. Producent Swetrów;(42)2141264;;
BAS. Producent Swetrów;602172550;;
Biuro Handlu Zagranicznego PANTEX;(42)6883970;;
Biuro Handlu Zagranicznego PANTEX;(42)6860294;;
BRECO Sp. z o.o.;(33)4994301;;
BRECO Sp. z o.o.;(33)4994303;;
EURO-PIK Sp. z o.o.;(34)3170770;;
EURO-PIK Sp. z o.o.;(34)3170145;;
F.P.H. MARION;(12)2653400;;
F.P.H. MARION;(12)4255097;;
Farbiarnia Mirwal;(43)8220756;;
Farbiarnia Mirwal;(43)8221748;;
Firma Handlowo-Produkcyjna Lux;(56)6233835;;
Firma Handlowo-Produkcyjna Lux;(56)6559241;;
Instytut Włókien Naturalnych i Roślin Zielarskich LENKON;(61)8134581;;
Instytut Włókien Naturalnych i Roślin Zielarskich LENKON;(61)8134597;;
ITALFIL Sp. z o.o.;(42)6320954;;
ITALFIL Sp. z o.o.;(42)6320837;;
JP PLUS Sp. z o.o.;(22)8322349;;
JP PLUS Sp. z o.o.;605100060;;
Kar-Tex Sp. z o.o.;(42)6824329;;
Kar-Tex Sp. z o.o.;(42)6824330;;
KRAINA FILCU;(22)4035399;;
LANEX Polska Sp. z o.o.;(32)2647881;;
LANEX Polska Sp. z o.o.;(32)2648653;;
MARKO-KOLOR Sp.j. L.Frączkiewicz, W.Gajda, A.Katryński;(42)6818021;;
MARKO-KOLOR Sp.j. L.Frączkiewicz, W.Gajda, A.Katryński;(42)6846673;;
NASZA Sp. z o.o.;(56)6781281;;
NASZA Sp. z o.o.;501516778;;
NOVITA S.A.;(68)4561500;;
NOVITA S.A.;(68)4561351;;
P.H.P. REN Renata Bartosiewicz;(52)3427420;;
P.H.P. REN Renata Bartosiewicz;501754051;;
P.P.H. GLER;(24)3659200;;
P.P.H. GLER;(24)3659400;;
P.P.H.U. IWONEX;(42)2766776;;
PASKAL Marek Głowski;(65)5297620;;
PASKAL Marek Głowski;502399586;;
PPHU ARKANS;502053746;;
PPHU LINPOL S.c.;(42)2140818;;
PPHU LINPOL S.c.;608842093;;
PPHU ZIMEX Mariola Zimoń;(042)6491056;;
PPHU ZIMEX Mariola Zimoń;508232559;;
Przedsiębiorstwo Produkcyjno-Handlowe JERSEY S.c.;(32)2969812;;
Przedsiębiorstwo Produkcyjno-Handlowe JERSEY S.c.;604274788;;
Przedsiębiorstwo Produkcyjno-Handlowe JOKAR Leszek Nurkowski;(34)3655981;;
Przedsiębiorstwo Produkcyjno-Handlowe JOKAR Leszek Nurkowski;(34)3740568;;
PW REMA;503521055;;
RUDOLF CHEMIE POLSKA Sp. z o.o.;(42)6515907;;
RUDOLF CHEMIE POLSKA Sp. z o.o.;(42)6515912;;
TechTekstil;(42)6849162;;
TechTekstil;506058988;;
TEXTON S.A.;(42)7190714;;
TEXTON S.A.;(42)7160052;;
UNIBAX Sp. z o.o.;(56)6390006;;
UNIBAX Sp. z o.o.;(56)6450825;;
VIVID;(42)6537077;;
