Przedsiębiorstwo L-Z;(81)7515708;;
Przedsiębiorstwo L-Z;(81)7515702;;
Wojskowe Zakłady Lotnicze nr 4 S.A.;(22)6851250;;
Wojskowe Zakłady Lotnicze nr 4 S.A.;(22)8364521;;
Wytwórnia Sprzętu Komunikacyjnego PZL-KALISZ S.A.;(62)5046100;;
Wytwórnia Sprzętu Komunikacyjnego PZL-KALISZ S.A.;(62)5046116;;
Wojskowe Zakłady Lotnicze nr 2 S.A.;(52)3628601;;
Wojskowe Zakłady Lotnicze nr 2 S.A.;(52)3628602;;
P.P.H.U Royal-Star;(14)6811916;;
Gardner Aerospace Tczew Sp. z o.o.;(58)5301300;;
Gardner Aerospace Tczew Sp. z o.o.;(58)5301333;;
Zakład Elementów Sprężytych i Lotniczych Sp. z o.o.;(22)8105649;;
Zakład Elementów Sprężytych i Lotniczych Sp. z o.o.;(22)8108014;;
LOT Aircraft Maintenance Services Sp. z o.o.;(22)6068002;;
LOT Aircraft Maintenance Services Sp. z o.o.;(22)6068102;;
4-AIR AIRLINES Sp. z o.o.;(17)8561104;;
4-AIR AIRLINES Sp. z o.o.;604605400;;
AERO-SERVICE;603397810;;
Aus-Pol;(42)2769111;;
Aus-Pol;(42)2769110;;
AVIACOM.PL Sp. z o.o.;(29)7646659;;
AVIACOM.PL Sp. z o.o.;604114718;;
AVIOMECHANIKA Sp. z o.o.;(33)8220054;;
AVIOMECHANIKA Sp. z o.o.;(33)8212964;;
AVIONIC Sp.j.;(33)8539089;;
Bielski Park Technologiczny Lotnictwa Przedsiębiorczości i Innowacji Sp. z o.o.;(32)7508189;;
Bielski Park Technologiczny Lotnictwa Przedsiębiorczości i Innowacji Sp. z o.o.;(32)7508233;;
Bumar Amunicja S.A. Oddział WSK PZL-WARSZAWA II;(22)8102001;;
Bumar Amunicja S.A. Oddział WSK PZL-WARSZAWA II;(22)8108884;;
EADS PZL Warszawa-Okęcie S.A.;(22)5772202;;
EADS PZL Warszawa-Okęcie S.A.;(22)5772203;;
ETC-PZL Aerospace Industries Sp. z o.o.;(22)8465417;;
ETC-PZL Aerospace Industries Sp. z o.o.;(22)8465418;;
