Agropartner Sp. z o.o.;(89)5332160;;
ELEWARR Sp. z o.o.;(22)6227141;;
ELEWARR Sp. z o.o.;(22)6229407;;
Firma Handlowa RAFPAK;(17)2302127;;
PHUP K.W.S. Żabczyńscy Sp.j.;(25)7982031;;
PHUP K.W.S. Żabczyńscy Sp.j.;(25)7982730;;
Agromyśl Myślibórz Sp. z o.o.;(95)7473021;;
Agromyśl Myślibórz Sp. z o.o.;(95)7475773;;
Armax Spółka z ograniczoną odpowiedzialnością i Wspólnicy Sp.k.;(29)7573547;;
Armax Spółka z ograniczoną odpowiedzialnością i Wspólnicy Sp.k.;502174067;;
GRUPA SMOLEŃ;(58)3011176;;
GRUPA SMOLEŃ;(58)3010525;;
ROLA Sp. z o.o. w Człuchowie;(59)8342211;;
ROLA Sp. z o.o. w Człuchowie;(59)8343955;;
ZIARN-POL Sp. z o.o.;(55)2612855;;
ZIARN-POL Sp. z o.o.;(55)2610006DziałAgro;;
PIAST Jan Kołodziej;(14)6630940;;
PIAST Jan Kołodziej;601222165;;
Firma Handlowa ANPOL Marek Frączkowski;(44)7141840;;
Firma Handlowa ANPOL Marek Frączkowski;(44)7141697;;
OBROL Kulczyński Sp.j.;(61)8173068;;
OBROL Kulczyński Sp.j.;(61)8181523;;
POLGRAIN;(22)6788703;;
POLGRAIN;(22)6789519;;
Przedsiębiorstwo Przetwórstwa Zbożowego KAPKA T. i B.Kapka Sp.j.;(84)6897888;;
Przedsiębiorstwo Przetwórstwa Zbożowego KAPKA T. i B.Kapka Sp.j.;(84)6897444;;
Agromin ZHU Krzysztof Grabarczyk;(24)3661050;;
Agromin ZHU Krzysztof Grabarczyk;(24)3676050;;
Biosphera;512118201;;
Biosphera;(61)6427327;;
EKO-MEGA Młyny Wodne Sp. z o.o.;(25)6424727;;
EKO-MEGA Młyny Wodne Sp. z o.o.;(83)3576397;;
Młyn NOWICCY Sp.j.;(62)7575921;;
Młyn NOWICCY Sp.j.;(62)7674389;;
ORVITA Sp. z o.o.;502515180;;
Ośrodek Hodowli Zarodowej PRZERZECZYN ZDRÓJ Sp. z o.o.;(74)8375061;;
Ośrodek Hodowli Zarodowej PRZERZECZYN ZDRÓJ Sp. z o.o.;(74)8375281;;
P.H.U. Bromex Paweł Broniarek;(43)6768902;;
