AROMA Sp.j.;(67)2500855;;
AROMA Sp.j.;(67)2500857;;
HERBAR Sp. z o.o.;(81)7572314;;
HERBAR Sp. z o.o.;668497516;;
NATUR-VIT Marek Płachta;(41)3589296;;
NATUR-VIT Marek Płachta;(41)3575224;;
Lawenda Zofia Zienkiewicz;501333409;;
Lawenda Zofia Zienkiewicz;509801916;;
Sklep Zielarsko-Medyczny FITOLEK;(71)7958517;;
ANDREA Irena Urbańczyk;(22)8253980;;
ANDREA Irena Urbańczyk;609716614;;
BRATEK Hanna Wożniak Sklep Zielarsko-Medyczny;502052168;;
BRATEK Hanna Wożniak Sklep Zielarsko-Medyczny;508117806;;
DARY NATURY;(85)6568364;;
DARY NATURY;(85)6569021;;
Firma Zielarska NATURA Dorota Lewandowska;(65)5482386;;
Firma Zielarska NATURA Dorota Lewandowska;600455719;;
Medyk S.c. Sklep Zielarsko-Medyczny;(44)7330724;;
Medyk S.c. Sklep Zielarsko-Medyczny;605088246;;
NAGIETEK Sklep Zielarsko-Medyczny Ewa Bagińska;(58)3463984;;
P.P.H.U. POLHERBS;603600939;;
SANDRA Export-Import;602723401;;
SANDRA Export-Import;(25)7577491;;
Sklep Zielarsko-Medyczny;(22)7562537;;
Zielarnia Sopocka;(58)5513975;;
Sklep Zielarsko-Medyczny ARNA Sp.j.;(71)7899252;;
Sklep Zielarsko-Medyczny ARNA Sp.j.;(71)3372211;;
Chem&Pol Sp. z o.o.;(22)8506710;;
Chem&Pol Sp. z o.o.;(22)8908740;;
ProAktiv Sp. z o.o.;(12)2689600;;
ProAktiv Sp. z o.o.;508802808;;
IMMUNE-HERBA rok założenia 1989 r.;602376511-od7.00do22.00;;
IMMUNE-HERBA rok założenia 1989 r.;505576912;;
Ginseng Poland Sp.j.;(62)7672492;;
Ginseng Poland Sp.j.;(62)7672652;;
Apteka Awicenna - Sklep Medyczny, Rehabilitacyjny i Ortopedyczny;(42)6407120Apteka;;
Apteka Awicenna - Sklep Medyczny, Rehabilitacyjny i Ortopedyczny;(42)6512905Sklepmedyczny;;
DOMOWA SPIŻARNIA;600374303;;
Herbaty Szlachetne Sp. z o.o.;(91)4232932;;
Herbaty Szlachetne Sp. z o.o.;(91)4820000;;
Nature and Medicine - NaM;(12)3932661;;
Nature and Medicine - NaM;(12)3932662;;
ORVITA Sp. z o.o.;502515180;;
Przedsiębiorstwo Zaopatrzenia Lecznictwa CEZAL Rzeszów;(17)8541350;;
Przedsiębiorstwo Zaopatrzenia Lecznictwa CEZAL Rzeszów;(17)8545849;;
Przedsiębiorstwo Zaopatrzenia Lecznictwa CEZAL ŚLĄSKI;(32)3514720;;
Przedsiębiorstwo Zaopatrzenia Lecznictwa CEZAL ŚLĄSKI;(32)2564101;;
The Nature Farm Farma Natury;(12)3578788;;
The Nature Farm Farma Natury;664060330;;
ZDROVITAL Sklep Zielarsko-Medyczny, Zdrowa Żywność-BIO, Masaż Leczniczo-Kosmetyczny;(44)7882322;;
ZDROVITAL Sklep Zielarsko-Medyczny, Zdrowa Żywność-BIO, Masaż Leczniczo-Kosmetyczny;511303332;;
RUMIANEK Sklep Zielarsko-Medyczny;510300021;;
Sklep Zielarsko-Medyczny SuperHerb;790600215;;
ZNACHOR Internetowy Sklep Zielarsko-Medyczny;695189213;;
ZNACHOR Internetowy Sklep Zielarsko-Medyczny;601389069;;
ABC-NATURY;(32)2401620;;
ABC-NATURY;535151606;;
AGROPLANT Sp. z o.o. Sklep Internetowy Lawendowafarma.com.pl;519052950;;
AGROPLANT Sp. z o.o. Sklep Internetowy Lawendowafarma.com.pl;(62)7413408;;
ALLIUM Sklep Zielarsko-Medyczny;(85)7425028;;
Alster PHU;(12)4291016;;
ARTMADE Lipiński Mariusz;501022874;;
Astex Sp. z o.o.;(23)6613901;;
Astex Sp. z o.o.;(23)6626975;;
BAHAR;(68)3240792;;
BAHAR;(68)3240793;;
BestVit;516679221;;
BestVit;501620313;;
Biofi;(17)7852377;;
Biofi;(17)7852378;;
Blik FX;(22)2990658;;
Blik FX;535341401;;
BRAT.PL Halina Pietraszek;(18)2677649;;
BRAT.PL Halina Pietraszek;509513221;;
Centrum Amis S.c. - Sklep Zielarsko-Medyczny;(17)2420091;;
Centrum Zielarsko-Medyczne MELISA;606992685;;
DARY NATURY;(52)3022860;;
DOBRE ZIELE;728528331;;
EARTH POWER Sp. z o.o.;(22)3895040;;
EPART S.c.;505145848;;
EPART S.c.;503909609;;
Esencja Zdrowia Sklep Zielarski;500305918;;
EVITAL;(61)8305522;;
EVTOM T.Banaś Sp.j.;(22)8118221;;
EVTOM T.Banaś Sp.j.;(22)6759642;;
F.H.U. VILIA;728738840;;
FAMA S.c. Sklep Internetowy HERBAMED.PL;504368802;;
FENG-LUKA;(91)4183299w.44;;
FENG-LUKA;508354867;;
FINCLUB Poland Sp. z o.o.;(22)6621571;;
FINCLUB Poland Sp. z o.o.;604050107;;
Firma Zielarska LEWANDOWSKI Marek Lewandowski;(54)2528418;;
Firma Zielarska LEWANDOWSKI Marek Lewandowski;(54)2528467;;
FITOMED Sklep Zielarsko-Medyczny;727652208;;
FITOMED Sklep Zielarsko-Medyczny;727652209;;
FLOS - Zielarnia LAWENDA;517944901;;
FRAGARIA Sklep Zielarsko-Medyczny;(58)7620215;;
Gospodarstwo Zielarskie Adam Dzyr;(83)3560417;;
Gospodarstwo Zielarskie Adam Dzyr;602288132;;
Gospodarstwo Zielarskie Izabelli i Tomasza Kozioł;(81)5853117;;
Gospodarstwo Zielarskie U KAROLA;692170873;;
Gospodarstwo Zielarsko-Nasienne;725652359;;
Heger;(58)3457875;;
Heger;(58)3456295;;
HELIPLANT Sp. z o.o.;(81)5853018;;
HELIPLANT Sp. z o.o.;(81)5852432;;
Herba-Farm;505010919;;
HERBA-MED Sklep Zielarsko-Medyczny;(23)6629965;;
HERBA-MED Sklep Zielarsko-Medyczny;694293235;;
HERBAMED Sklep zielarsko-medyczny;(75)7711375;;
Herbanordpol Sp. z o.o.;(55)2715619;;
Herbanordpol Sp. z o.o.;(55)2715094;;
Herbapol w Krakowie S.A.;(12)4116911;;
Herbapol w Krakowie S.A.;(12)4115837;;
Herbonlife;783394900;;
IGYA Sekrety Zdrowia;(22)3821615-16;;
IGYA Sekrety Zdrowia;(22)3821620;;
INSTYTUT UNCARIA;(22)4284848;;
INSTYTUT UNCARIA;0801009729;;
KRAKFLOS Sp.j.;(12)6530572;;
KRAKFLOS Sp.j.;(12)6505810;;
KRAUTEX Bogusław Domański;(82)5773092;;
KRAUTEX Bogusław Domański;(82)5773048;;
Laboratorium Medycyny Naturalnej BONIMED;(33)8618671;;
Laboratorium Medycyny Naturalnej BONIMED;(33)8615620;;
LAWENDOWE POLE;604711203;;
MALVA Sp.j.;602620603;;
MEDICUS Sklep Medyczno-Zielarski;(22)8526000;;
MiM GĘBCZYK Sklep Zielarsko-Medyczny;(33)8735320;;
MiM GĘBCZYK Sklep Zielarsko-Medyczny;(33)8738467;;
MIR-LEK;(32)2649490;;
MIR-LEK;(32)2649492;;
NANGA Sklep Internetowy Magicznyogrod.pl;691420777;;
Naturala.pl;(22)2668044;;
P.H.U. Portis;618104477;;
P.H.U. Portis;603437679;;
P.H.U. WALDI57 Sklep Zielarsko-Medyczny;503173341;;
P.H.U. WALDI57 Sklep Zielarsko-Medyczny;506195923;;
P.P.H.U. Eligiusz Daniel Kozłowski;(89)5274966;;
P.P.H.U. Eligiusz Daniel Kozłowski;609656022;;
Panaceum;(94)3721930;;
Panaceum;(94)3721932;;
PHU KERNEL PLUS;(42)6764879;;
PHU KERNEL PLUS;(42)6760874;;
Piramida Zdrowia Radosław Chodyczko Sp.j. Sklep Internetowy Piramidazdrowia.pl;696553957;;
Polskie Zioła Sp. z o.o.;(81)5823010;;
Polskie Zioła Sp. z o.o.;(81)5823011;;
Przedsiębiorstwo Rolno-Spożywcze KANIA Sp. z o.o.;(34)3720957;;
Przedsiębiorstwo Rolno-Spożywcze KANIA Sp. z o.o.;(34)3627386;;
Sklep internetowy Zielarni Krakowskiej HERB-APIS;(12)4233231;;
Sklep internetowy Zielarni Krakowskiej HERB-APIS;(12)3801000;;
Sklep Medyczno Zielarski;604270726;;
Sklep Medyczny-Zielarski Mirosława Tichoniuk Sklep Internetowy Alezioło.pl;(85)6761302;;
Sklep NATURA;(42)7164341;;
Sklep Zielarski;668352666;;
Sklep Zielarski FITO;(85)6512206;;
Sklep Zielarski FITO;604088401;;
Sklep Zielarski SAMO ZDROWIE;507382820;;
Sklep Zielarski SAMO ZDROWIE;506911656;;
Sklep Zielarski ZiołaDar.pl;530997709;;
Sklep Zielarsko Medyczny;(32)4714523;;
Sklep Zielarsko Medyczny;603356677;;
Sklep Zielarsko Medyczny HERBA-MEDICA;530040970;;
Sklep Zielarsko-Drogeryjny;(043)8413239;;
Sklep Zielarsko-Medyczny;(14)6864075;;
Sklep Zielarsko-Medyczny ALPINA;724200240;;
Sklep Zielarsko-Medyczny Api-Herba;(14)6702075;;
Sklep Zielarsko-Medyczny Bożena Mazan;(77)4442945;;
Sklep Zielarsko-Medyczny Bożena Mazan;795183775;;
Sklep Zielarsko-Medyczny Cztery Pory Roku;(68)4523899;;
Sklep Zielarsko-Medyczny Cztery Pory Roku;510681936;;
Sklep Zielarsko-Medyczny Eko-Styl Zdrowa Żywność;(58)3464661;;
Sklep Zielarsko-Medyczny HERBA;(65)5202320;;
Sklep zielarsko-medyczny HERBALEK;(46)8374613;;
Sklep Zielarsko-Medyczny HERBALEK;(22)7588402;;
Sklep Zielarsko-Medyczny HERBAMED Katarzyna Chmielewska;691278985;;
Sklep Zielarsko-Medyczny IMBIR;662768844;;
Sklep Zielarsko-Medyczny JAGA CORA II;(17)8525613;;
Sklep Zielarsko-Medyczny JAGA CORA II;692764151;;
Sklep Zielarsko-Medyczny Kozłek;(58)3466152;;
Sklep Zielarsko-Medyczny MALWA;(91)4628936;;
Sklep Zielarsko-Medyczny MELISA;(32)4731373;;
Sklep Zielarsko-Medyczny MELISA;502540989;;
Sklep Zielarsko-Medyczny NA ZDROWIE Lucyna-Agata Wojtasińska;(41)3942291;;
Sklep Zielarsko-Medyczny Ogród Staropolski Izabela Grzesiak;508835185;;
Sklep Zielarsko-Medyczny Św. Stanisława;(46)8323746;;
Sklep Zielarsko-Medyczny URODZAJNIK;(89)6161762;;
Sklep Zielarsko-Medyczny Vitanalis Magdalena Krzyżowska;793388733;;
Sklep Zielarsko-Medyczny Vitanalis Magdalena Krzyżowska;513088166;;
Sklep Zielarsko-Medyczny WITAMINKA;(32)7552129;;
Sklep Zielarsko-Medyczny WRZOS;501490417;;
Sklep Zielarsko-Medyczny Zdrowie i Uroda;(52)5156503;;
Sklep Zielarsko-Medyczny ZDROWY SKLEP;(44)6499927;;
Sklep Zielarsko-Medyczny ZIELARZ Pruszków;(22)7283251;;
Sklep Zielarsko-Medyczny ZIELARZ Pruszków;(22)7300288;;
Sklep Zielarsko-Medyczny Zioła Życia Ganna Kosmala;509171373;;
Sklep Zielarsko-Medyczny Zioła Życia Ganna Kosmala;(42)6501596;;
Sklep Zielarsko-Medyczny ZIÓŁKO;(22)8344069;;
SPRING;(22)4017586;;
SPRING;501135199;;
Stara Zielarnia;517146897;;
SWEDEPONIC POLSKA Sp. z o.o.;(22)7557979;;
SWEDEPONIC POLSKA Sp. z o.o.;(22)7242108;;
Sylwia Hallala-Dynak Konsultant TAHITIAN NONI INTERNATIONAL;606697157;;
ŚWIEŻE ZIOŁA Łukasz Boratyński;(12)4143096;;
ŚWIEŻE ZIOŁA Łukasz Boratyński;693646899;;
Vilcacora - ANDEAN MEDICINE CENTRE LTD.;080131-69-51;;
Vilcacora - ANDEAN MEDICINE CENTRE LTD.;(58)3498040;;
Zakład Produkcyjno-Handlowy ASZ;(12)2706431;;
Zakład Produkcyjno-Handlowy ASZ;604519997;;
Zakład Zielarski KAWON-HURT Nowak Sp.j.;(65)5720822;;
Zakład Zielarski KAWON-HURT Nowak Sp.j.;(65)5723460;;
Zielarka P.P.H.U. Pro Deo et Arte;(42)6542496;;
Zielarka P.P.H.U. Pro Deo et Arte;507176602;;
Zielarnia KAMI;(17)2271777;;
Zielarnia KAMI;(17)2273446;;
Zielarnia Na Zdrowie;530508035;;
Zielarnia Na Zdrowie;533317080;;
ZIELNIK Sklep Zielarsko-Farmaceutyczny;(48)3895950;;
ZIELPOL Tomasz Marzec;793569091;;
ZIOŁA Z KURPI Karol Młynarski;503146751;;
Ziołolecznictwo Aniela Janda;(17)8711916;;
Ziołolecznictwo Aniela Janda;693247783;;
ZPZ HERBAVIS Mateusz Senderski;(23)6842690;;
ZPZ HERBAVIS Mateusz Senderski;(23)6622158;;
HERBAVITA Herbs&Medical;(42)3072299;;
VITA SALUS;608806581;;
Agencja Konsultingowa PRO-CONSULT - Sklep Internetowy ProVitalsklep.pl;888161566;;
AMARA Sklep Zielarsko-Medyczny;602664355;;
ANFI;604218780;;
ANFI;692444374;;
Apteka POD ORŁEM;(67)2552493;;
Apteka POD ORŁEM;(67)2558594;;
Argentyna Limited BHZ S.c.;(22)8476534;;
Argentyna Limited BHZ S.c.;(22)8476371;;
Centrum Terapii Naturalnej ECHO;(42)6325124;;
Centrum Terapii Naturalnej ECHO;(42)6308880;;
Centrum Zdrowego Odżywiania Michał Zieliński;519367626;;
Dom Gościnny OAZA Agroturystyka Teresa i Jan Tomaszewscy;(41)3127029;;
Dom Gościnny OAZA Agroturystyka Teresa i Jan Tomaszewscy;695081601;;
EKO Sklepik A&K;660480130;;
Eko Sklepik Na Zdrowie;721107570;;
eXistum - Sklep Internetowy ziola-zycia.eu;0801003383;;
eXistum - Sklep Internetowy ziola-zycia.eu;607655729;;
F.H.U. ABC-ZDROWIA;(32)2853379;;
F.H.U. ABC-ZDROWIA;(32)2853377;;
Firma Usługowa JACEK BORKOWSKI;602247217;;
Gabinet Masażu Kręgarstwa i Fizjoterapii Aneta, Jan Perlak;(17)8535549;;
Gabinet Masażu Kręgarstwa i Fizjoterapii Aneta, Jan Perlak;696726550AnetaPerlak-Urban;;
GOIMPEX Sklep Medyczny i Zielarski;(95)7204731;;
Gospodarstwo Ekologiczne Maciej Jabłoński;(22)7981960;;
Gospodarstwo Ekologiczne Maciej Jabłoński;509878518;;
Indiana Botanic Gardens Sp. z o.o.;(61)6615850;;
Indiana Botanic Gardens Sp. z o.o.;(61)6615852;;
Karibo Mariusz Elwartowski;788221222;;
Kawy i Herbaty - Sklep Internetowy KoneserSmaku;698366619;;
Kenay A.Grzegorek i Wspólnicy Sp.j.;(62)7573588;;
Kenay A.Grzegorek i Wspólnicy Sp.j.;(62)7573589;;
Klasztor Bonifratrów;(12)4306122;;
Klasztor Bonifratrów;(12)4305595;;
Laboratoria Natury Sp. z o.o.;(081)4425094;;
Laboratoria Natury Sp. z o.o.;(081)4420102;;
Medycyna Naturalna Zbigniew Adamczyk;(68)3772547;;
Medycyna Naturalna Zbigniew Adamczyk;600802765;;
MITRA;(22)8139001;;
MITRA;601828409;;
Natural Health Sp. z o.o.;(12)3578788;;
Natural Health Sp. z o.o.;604141142;;
NaturapH Jakub Ledwoń;602743043;;
NaturapH Jakub Ledwoń;600457896;;
Naturobranie S.c.;695420566;;
Neofarma;518650512;;
Niezależny Dystrybutor Cali Vita - SOK NONI, WITAMINY, Preparaty ROŚLINNE i wiele innych;(61)6461310;;
Niezależny Dystrybutor Cali Vita - SOK NONI, WITAMINY, Preparaty ROŚLINNE i wiele innych;607052669;;
Niezależny Konsultant MORINDY Krystyna Jarczewska;(68)4121939;;
Niezależny Konsultant MORINDY Krystyna Jarczewska;602456705;;
NowFoods.com.pl - Sklep Zielarski S.c. S.Półtorak, J.Szewczyk;(91)4840446;;
NowFoods.com.pl - Sklep Zielarski S.c. S.Półtorak, J.Szewczyk;601746514;;
OFFICINA SANITATIS Sklep Zielarsko-Medyczny Anna Nieszporek;(32)2350413;;
OFFICINA SANITATIS Sklep Zielarsko-Medyczny Anna Nieszporek;606475304;;
P.H.U. SZANTA Sklep Zielarsko-Medyczny Natura;(56)6572072;;
Pasja Michał Majewski, Szprosy Warzywne;(75)6480710;;
Pasja Michał Majewski, Szprosy Warzywne;607819745;;
PHU A&K;660480130;;
PHU KAPITAŁ PLUS Grażyna Świrta;(77)4028420;;
