ECOPLAN Sp. z o.o.;(32)2303235;;
ECOPLAN Sp. z o.o.;501520728;;
Stacja Demontażu Pojazdów IMPRESJA;(16)6483500;;
Stacja Demontażu Pojazdów IMPRESJA;(16)6482117;;
Auto-Centrum Kwiatkowski;662014812;;
Auto-Centrum Kwiatkowski;604096768;;
P.P.T.H.U. Dromader;(32)2120446;;
P.P.T.H.U. Dromader;600824888;;
VERNAL AutoZłomowanie Części Używane;(75)7223508;;
VERNAL AutoZłomowanie Części Używane;501466460-CZĘŚCIUŻYWANE;;
ZŁOM-POL S.c.;602556744;;
ZŁOM-POL S.c.;(14)6811835;;
AUTO ZŁOM;(87)4284257;;
AUTO-JAPAN S.c. Złomowanie Pojazdów;(43)6753207;;
AUTO-JAPAN S.c. Złomowanie Pojazdów;(43)6758687;;
Auto-Złom;(33)8177933;;
Auto-Złom;695797404;;
BARTOSZCZE RECYKLING Sp.j.;(81)5175099;;
BARTOSZCZE RECYKLING Sp.j.;605149490;;
Cars Zone Stacja Demontażu Pojazdów Andrzej Kuzyk;693459259;;
Cars Zone Stacja Demontażu Pojazdów Andrzej Kuzyk;(89)6410027;;
HYDROSTAL Konin;(63)2445753;;
HYDROSTAL Konin;(63)2445500;;
Kas-Car;(22)7561233;;
Kas-Car;(22)7210031;;
Kasacja Pojazdów Paweł Szponar;(71)3970536;;
Kasacja Pojazdów Paweł Szponar;503304231;;
LEGALNY AUTOZŁOM Sp. z o.o.;(32)4696033;;
LEGALNY AUTOZŁOM Sp. z o.o.;501181853;;
P.P.H.U. ZŁOMEX I.Linowiecka Złomowanie Pojazdów;607600464;;
Pomoc Drogowa - Mechanika - Złomowanie Pojazdów;(43)6784842;;
Pomoc Drogowa - Mechanika - Złomowanie Pojazdów;665301428;;
RAAN Stacja Demontażu Pojazdów;(58)5223686;;
RAAN Stacja Demontażu Pojazdów;(58)3054180;;
ROLBUD;(43)6784828;;
ROLBUD;502725133;;
Romar P.H.U.;(54)2847018;;
Romar P.H.U.;607605481;;
ZHU GAJPOL S.c.;(91)4141308;;
ZHU GAJPOL S.c.;733814928;;
ZLOMUJ.PL Autorecykling Rafał Lokwenc;516020516;;
ZLOMUJ.PL Autorecykling Rafał Lokwenc;516990345;;
ADAT Auto-Eko-Service;(68)3275781;;
ADAT Auto-Eko-Service;(68)3214067;;
Logo Group Sp. z o.o. Sp.komandytowa;(32)2712621;;
Logo Group Sp. z o.o. Sp.komandytowa;733987272;;
TRANSDŹWIG Zawadzcy Sp.j.;(87)6431060;;
Autokasacja u Jacka Złomowanie Pojazdów;696777898;;
Autokasacja u Jacka Złomowanie Pojazdów;728505702;;
