Grupa Atlas Tours Sp. z o.o.;801000351;;
Grupa Atlas Tours Sp. z o.o.;(32)4340380;;
BOOMERANG S.A. (dawniej VENITI S.A.);(22)4909950-52;;
BOOMERANG S.A. (dawniej VENITI S.A.);(22)4909389;;
ŻEGLUGA GDAŃSKA Sp. z o.o.;(58)3017426;;
ŻEGLUGA GDAŃSKA Sp. z o.o.;(58)3017420;;
USTKA-TOUR S.C.;601629191;;
USTKA-TOUR S.C.;501571383;;
Rejsy Statkami Piotr Konstantynowicz;502536279;;
Rejsy Statkami Piotr Konstantynowicz;510729349;;
Rejsy Stażowe i Szkolenia Żeglarskie STERMIL;501174617;;
Rejsy Stażowe i Szkolenia Żeglarskie STERMIL;604905829;;
TRANS-WOD Czesław Błocki;601625682;;
TRANS-WOD Czesław Błocki;(56)6514410;;
Żegluga Pasażerska FLIS;797797725;;
GM YACHTING Polska;(89)6797280;;
GM YACHTING Polska;601427986;;
ZAK GROUP Sp. z o.o.;502059523;;
ZAK GROUP Sp. z o.o.;(58)7425599;;
Biuro Turystyczne EID-POL;(58)3055092;;
Biuro Turystyczne EID-POL;(58)3463284;;
PUH Żeglarz Roman Kułdo;(87)4288331;;
PUH Żeglarz Roman Kułdo;602580593;;
SHARKS Sp. z o.o.;691659086;;
SHARKS Sp. z o.o.;666049489;;
Odra Czarter;600710117;;
Warszawska Przystań Wodna AQUATICA S.c.;534222226;;
Warszawska Przystań Wodna AQUATICA S.c.;502022996;;
ALBATROS Vela-Ves;(58)7748137;;
BOSFOR Sp. z o.o.;(61)6257575;;
Darkris Travel S.c.;519140201;;
Duch Morza S.c.;668614171;;
Duch Morza S.c.;(22)8100042;;
Finezja S.c. Statek Wycieczkowy BAJKA;603137788;;
Firma Usługowo-Handlowa MAZUR REJS;(87)4299421;;
Firma Usługowo-Handlowa MAZUR REJS;609185675;;
Kołobrzeska Żegluga Pasażerska Sp. z o.o.;(94)3524301;;
Kołobrzeska Żegluga Pasażerska Sp. z o.o.;(94)3528920;;
Krakowska Żegluga Pasażerska, Statek NIMFA;(12)4220855;;
Krakowska Żegluga Pasażerska, Statek NIMFA;505102677;;
LIVBOJ;604605974;;
