AGROMIX Z.P.H.;(12)2811008;;
AGROMIX Z.P.H.;(12)2811453;;
CIECH Sarzyna S.A.;(17)2407111;;
CIECH Sarzyna S.A.;(17)2407122;;
F.H. OGRODNIK Beata Słaby;(18)4410270;;
Pestila 2 Sp. z o.o. Sp.k.;(44)6164375;;
Pestila 2 Sp. z o.o. Sp.k.;(44)6164803;;
SUMIN D.Czabańska, W.Czabański i Wspólnicy Sp.j.;(61)2972600;;
SUMIN D.Czabańska, W.Czabański i Wspólnicy Sp.j.;(61)2972602;;
BIO AGRIS - Piotr Zajkowski Sp.j.;793797781;;
BIO AGRIS - Piotr Zajkowski Sp.j.;793797757;;
F.H. OGRODNIK Beata Słaby;(18)4432844;;
F.H. OGRODNIK Beata Słaby;(18)4432652Serwis;;
HIMAL PPH;(42)6521961;;
HIMAL PPH;(42)6521968;;
Zakład Zaopatrzenia Rolnictwa Wojciech Wojtkiewicz;(89)7622770;;
AGROSERWIS Sp.j.;(61)4423641;;
AGROSERWIS Sp.j.;693858570;;
P.H.P.U. DARMARK-NAWOZY Ewa Zglińska;(52)3858720;;
iFarmer.pl;609552993;;
iFarmer.pl;(34)3143311;;
Instytut Ochrony Roślin - Państwowy Instytut Badawczy;(61)8649000;;
Instytut Ochrony Roślin - Państwowy Instytut Badawczy;(61)8676301;;
Arysta LifeScience Polska Sp. z o.o.;(22)8664180;;
Arysta LifeScience Polska Sp. z o.o.;(22)8664190;;
Instytut Metali Nieżelaznych w Gliwicach Oddział w Legnicy;(76)8505500;;
Instytut Metali Nieżelaznych w Gliwicach Oddział w Legnicy;(76)8505501;;
P.U.P.H. Solfum Sp. z o.o.;(42)7125100;;
P.U.P.H. Solfum Sp. z o.o.;(42)7125150;;
Zakład Handlowy JÓŹWIAKOWSKI;(67)2613085;;
Zakład Handlowy JÓŹWIAKOWSKI;(67)2613485;;
Agencja Handlowo Produkcyjno Usługowa MARKUS S.c.;(22)2128084;;
Agencja Handlowo Produkcyjno Usługowa MARKUS S.c.;(22)2034875;;
Hodowla Roślin Bartążek Sp. z o.o. Grupa IHAR;(89)5120327;;
Hodowla Roślin Bartążek Sp. z o.o. Grupa IHAR;(89)5120785;;
AGROCENTRUM;(17)2297031;;
AGROPASZ;(34)3591916;;
AGROPASZ;(34)3590602;;
Boryna;(23)6619144;;
ELAR Z.P.H.T.;(58)5882240;;
ELAR Z.P.H.T.;(58)5882390;;
F.H.U. BWR Stefan Reterman;(41)3861719;;
F.H.U. BWR Stefan Reterman;(41)3864268;;
Firma PEST-ARIO Sp.j.;(76)8549580;;
Firma PEST-ARIO Sp.j.;(76)8459582;;
GRUPA SMOLEŃ;(58)3011176;;
GRUPA SMOLEŃ;(58)3010525;;
Kwiaciarnia POD MUFLONAMI - PHU Marzena II Henryk Borek-Prek;880018814;;
Mieleckie Zrzeszenie Producentów Trzody Chlewnej TUCZ-BOR Sp. z o.o.;(17)5810336;;
Mieleckie Zrzeszenie Producentów Trzody Chlewnej TUCZ-BOR Sp. z o.o.;600354891;;
MIGROLA Centra Ogrodnicze;(81)5162419;;
MIGROLA Centra Ogrodnicze;(81)5162463;;
